ID,Family,Generat,Tr,Sex,MReads,matchV48,Mapping,trtG1G2,outcome,No.Worms,Slfin,Tlfin,Wnettofin,Cfresfin,BC,BCgen ,HK.W,SPL.W,L.W,GON.W,BK.W,integration[RLU],peak[RLU/sec],Tpeak[min],G/L_ratio
S134,Fam17,O,TT,M,9.6,V48_202,71.2,E_exposed,infected,1,35,40,472,12.071,-0.27467,-0.15394,1,0.3,13,2.8,2.2,381340.9,55,25.11,0.26
S135,Fam17,O,CC,M,10.5,V48_047,71.2,NE_control,control,0,31,36,331,56.483,-2.00254,-1.68599,3.6,0.3,10.4,0.1,0.9,299015.7,45,85.11,0.77
S136,Fam17,O,CC,M,12.8,V48_189,72,NE_control,control,0,33,38,391,23.777,-0.9694,-0.73618,2,0.5,12.6,0.6,0.3,937141,135,20.11,0.72
S137,Fam17,O,CC,F,9.7,V48_328,71.7,NE_control,control,0,30,34,285,56.836,-2.26128,-1.88084,2.1,0.4,8.8,5.2,0.7,1867475.7,252,70.11,0.55
S138,Fam17,O,CC,F,9.7,V48_378,70.4,NE_control,control,0,34,39,444,30.424,-0.82346,-0.66385,1.6,0.4,15.7,5.9,2,2141092.9,351,70.11,0.96
S139,Fam17,O,CT,M,10.7,V48_010,70.6,NE_exposed,infected,3,35,39,430,-29.929,0.40214,0.5812,3.9,0.1,12.5,0.1,1.1,1156073.3,209,70.11,1.06
S140,Fam17,O,CT,F,8.9,V48_067,71.6,NE_exposed,infected,2,35,40,423,-36.929,0.51494,0.70372,2.1,0.3,13.9,8.6,0.5,337334.9,45,110.11,1.38
S141,Fam17,O,CT,M,19.3,V48_187,68.3,NE_exposed,infected,5,35,40,428,-31.929,0.43437,0.6162,1.1,0.4,9.9,0.5,2.2,335313.9,38,75.11,2.05
S142,Fam17,O,CT,F,4.8,V48_224,71.8,NE_exposed,infected,3,36,41,492,-14.282,0.39316,0.48668,2.2,0.1,18.5,10.1,1.2,2982442.5,475,70.11,1.09
S143,Fam17,P,C,M,10.8,109,67.9,Control,control,0,46,52,1094,11.615,0.70219,1.46529,5.9,1.5,50.2,8.3,515,3553671,798.5,15.1,0.9408
S144,Fam17,P,T,M,12.4,110,67.6,Exposed,infected,1,45,51.5,1228,13.741,-2.45714,-1.14835,4.1,1.6,43.5,13.1,477,2572607,367,15.1,1.2838
