Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
G05007-L1_S135_L008_R1_001_trimmed_cutadapt	75.99883026979195	30.0	96.06719697725828	18.181818181818183	10469965.0
G05008-L1_S136_L008_R1_001_trimmed_cutadapt	79.09928953652519	29.0	96.94049858171938	18.181818181818183	12807409.0
G05009-L1_S137_L008_R1_001_trimmed_cutadapt	71.4576066316959	30.0	95.1061332173661	18.181818181818183	9657900.0
G05010-L1_S138_L008_R1_001_trimmed_cutadapt	70.43402423707168	31.0	95.1083862845326	18.181818181818183	9599877.0
G05011-L1_S139_L008_R1_001_trimmed_cutadapt	70.87033091949553	30.0	95.14033471196741	18.181818181818183	10641209.0
G05012-L1_S140_L008_R1_001_trimmed_cutadapt	69.10529688599193	30.0	94.77492331469622	18.181818181818183	8883710.0
G05013-L1_S141_L008_R1_001_trimmed_cutadapt	74.65809234403312	31.0	93.42525734185782	18.181818181818183	19186152.0
G05014-L1_S142_L008_R1_001_trimmed_cutadapt	79.7306764724589	30.0	96.46723747764484	18.181818181818183	4753938.0
G05015-L1_S143_L008_R1_001_trimmed_cutadapt	69.67428394546867	31.0	93.78622411420454	18.181818181818183	10781637.0
G05016-L1_S144_L008_R1_001_trimmed_cutadapt	73.5109274715553	31.0	95.85798924909544	18.181818181818183	12310406.0
