SampleID,Sample_Name,NbrMethylatedCpG,MappingEfficiency%BSBoldvsGynogen,percent_duplicates_rawReads,percent_GC_rawReads,M.Seqs_rawReads,percent_duplicates_trimmedReads,percent_gc_trimmedReads,avg_sequence_length_trimmedReads,percent_fails_trimmedReads,total_sequences_trimmedReads,FamilyOfFather,clutch.ID,fatherID,matchV48,HK.W,No.Worms,Wnettofin,Slfin,ID,Family,Generat,Tr,Sex,MReads,Mapping,trtG1G2,outcome,Tlfin,Cfresfin,BC,BCgen,SPL.W,L.W,GON.W,BK.W,integration.RLU.,peak.RLU.sec.,Tpeak.min.,G.L_ratio
S29,G04901-L1_S29_L002_R1_001,23837179,86.11,72.4%,33%,9.6,71.7872644750961,33,95.840557443576,18.1818181818182,9405795,Fam6,NE_04,S35,V48_116,6,0,771,41,S29,Fam06,O,CC,F,9.5,70.2,NE_control,control,47,32.953,0.90714,0.6126,1.3,30.8,19.6,3.2,3410217.6,607,80.11,1.05
S3,G04875-L1_S3_L001_R1_001,23454944,82.522,73.6%,32%,11.2,73.1022360467966,31,94.5223279384038,18.1818181818182,11123284,Fam6,E_30,S17,V48_137,3.2,0,923,42,S3,Fam06,O,TC,F,11.2,65.9,E_control,control,48,138.6,-0.54225,-1.04789,1.2,49.5,18.8,4.1,2972330.5,508,80.11,0.43
S30,G04902-L1_S30_L002_R1_001,26772465,84.248,74.7%,33%,10.9,74.3470610950455,33,96.0713573077402,18.1818181818182,10824988,Fam6,NE_04,S35,V48_281,4.9,0,776,40,S30,Fam06,O,CC,F,10.9,67,NE_control,control,45,84.306,-0.17344,-0.47491,0.9,30.6,13.8,3.5,1260135.3,207,80.11,0.46
S31,G04903-L1_S31_L002_R1_001,16229351,85.787,86.0%,38%,13.2,70.0752687335928,33,95.8046806641129,18.1818181818182,6257189,Fam6,NE_04,S35,V48_115,2.6,2,509,37,S31,Fam06,O,CT,F,6.6,67.3,NE_exposed,infected,43,-43.635,1.1291,1.19844,0.4,18.3,7.6,1.4,1346311.4,209,95.11,1.37
S32,G04904-L1_S32_L002_R1_001,21913844,85.725,74.8%,35%,8.6,74.2087087430906,34,94.394981071933,18.1818181818182,8502453,Fam6,NE_04,S35,V48_160,2,2,445,36,S32,Fam06,O,CT,M,8.5,67.4,NE_exposed,infected,42,-61.282,1.16042,1.31865,0.4,7.6,1.4,1.5,1633256.5,250,95.11,0.53
S33,G04905-L1_S33_L002_R1_001,26489293,87.785,74.4%,34%,10.6,73.7886674490427,33,94.2799984832959,18.1818181818182,10470071,Fam6,NE_04,S35,V48_241,2.3,2,515,37,S33,Fam06,O,CT,M,10.5,71.2,NE_exposed,infected,42,-37.635,1.03242,1.09342,0.5,10.5,0.4,1.9,360823.7,46,125.11,0.92
S34,G04906-L1_S34_L002_R1_001,22238948,85.749,74.6%,33%,9.6,74.0335849055945,32,94.7746319562672,18.1818181818182,9549069,Fam6,NE_04,S35,V48_279,2,3,564,39,S34,Fam06,O,CT,F,9.6,70,NE_exposed,infected,45,-81.341,2.24281,2.23577,0.6,12.5,11.5,2.2,1512728.6,237,50.11,0.46
S35,G04907-L1_S35_L002_R1_001,20269040,82.655,73.5%,34%,9.3,72.6514304007196,33,94.0902864806547,18.1818181818182,9154859,Fam6,NE_04,NA,7,3.9,0,931,43,S35,Fam06,P,C,M,9.2,64.8,Control,control,48,11.613,0.32883,0.42816,1,29.6,7,206,918395,119.5,92.61,0.6135
S36,G04908-L1_S36_L002_R1_001,19600804,76.152,75.7%,34%,9.1,74.9662730632,34,94.2932305972883,27.2727272727273,8884905,Fam6,E_04,NA,8,1.5,5,1028,45,S36,Fam06,P,T,M,9,59,Exposed,infected,50,11.503,0.76574,1.26007,0.6,33,7.4,197,2175423,240,97.61,0.5713
S37,G04909-L1_S37_L003_R1_001,16894794,86.243,71.8%,32%,7.8,71.471834065738,31,95.7249659081106,18.1818181818182,7778243,Fam11,E_05,S52,V48_071,2.5,0,852,42,S37,Fam11,O,TC,M,7.8,68.2,E_control,control,48,67.6,0.60187,0.19484,1,32.1,3,3.7,4534874.8,720,55.11,0.38
S38,G04910-L1_S38_L003_R1_001,28370990,85.886,73.8%,32%,11.9,73.4427364077469,31,95.8719331559285,18.1818181818182,11813284,Fam11,E_05,S52,V48_360,3.5,0,978,44,S38,Fam11,O,TC,F,11.8,69.6,E_control,control,50,100.894,0.57146,-0.01056,0.5,36.3,15.6,4.2,1289473.3,184,35.11,1.28
